,Brazil Returns,Russia Returns,India Returns,China Returns,South Africa Returns
480,-0.005965517,-0.004701716,-0.0017006713,-0.0036140694,-0.0060055503
481,-0.0061899577,-0.0048844903,-0.0017098512,-0.0038245504,-0.006252656
482,-0.006044097,-0.0047717476,-0.0016463556,-0.0037433875,-0.0061330535
483,-0.006125572,-0.004833158,-0.0016346457,-0.0038445094,-0.006232355
484,-0.0060082655,-0.0047435313,-0.001590109,-0.0037716113,-0.00613173
485,-0.0059518777,-0.0047038863,-0.0015762099,-0.0037264233,-0.0060796267
486,-0.0058865473,-0.0046569556,-0.0015732979,-0.003659183,-0.006009712
487,-0.005824893,-0.004609547,-0.0015722653,-0.0035963717,-0.0059415568
488,-0.0058696517,-0.004641102,-0.0015949829,-0.0036184238,-0.0059751887
489,-0.0063107605,-0.0049749212,-0.00168195,-0.0039878855,-0.006408269
490,-0.0056242794,-0.004449198,-0.0014921342,-0.0034777576,-0.0057720016
491,-0.0058590285,-0.0046285572,-0.0015695392,-0.0036370747,-0.00598118
492,-0.0058854367,-0.00465008,-0.001590109,-0.0036418682,-0.005997733
493,-0.005904298,-0.004663968,-0.0016222027,-0.003627665,-0.0059969346
494,-0.0059228884,-0.0046752756,-0.0016522312,-0.0036172091,-0.005996182
495,-0.0060180333,-0.004743334,-0.001700124,-0.00366549,-0.0060673975
496,-0.005931381,-0.004672786,-0.0016769727,-0.0036028004,-0.0059851743
497,-0.0059895697,-0.0047176527,-0.0016827037,-0.0036549594,-0.006046701
498,-0.005906368,-0.0046519926,-0.0016614009,-0.0035939796,-0.0059677945
499,-0.005953318,-0.004688693,-0.0016859978,-0.003616966,-0.0060033766
500,-0.0059825024,-0.004709259,-0.0017171932,-0.003617396,-0.0060135433
501,-0.006001063,-0.004721432,-0.0017390744,-0.003616415,-0.0060179513
502,-0.0060701147,-0.0047801104,-0.0017277775,-0.003689897,-0.0061038393
503,-0.0061827404,-0.0048666713,-0.0017541918,-0.0037751808,-0.0062118117
504,-0.006058096,-0.004768044,-0.0017106257,-0.0036952698,-0.0061018
505,-0.0061681257,-0.004856153,-0.001724628,-0.0037901173,-0.006215964
506,-0.006139692,-0.0048342813,-0.0017306275,-0.0037563478,-0.0061801034
507,-0.0060998243,-0.004800889,-0.0017453732,-0.0037043616,-0.006124359
508,-0.0060444716,-0.0047541256,-0.0017512386,-0.0036469141,-0.0060567427
509,-0.0059909048,-0.0047103064,-0.0017391053,-0.003606099,-0.0060032653
510,-0.0059799366,-0.004706755,-0.0017079615,-0.0036216383,-0.006013065
511,-0.0060303225,-0.0047505586,-0.0016893435,-0.0036875797,-0.006083403
512,-0.006095308,-0.0048034163,-0.0016945892,-0.0037461112,-0.006152663
513,-0.006076342,-0.004792488,-0.001684738,-0.003736585,-0.0061394074
514,-0.00605415,-0.0047774543,-0.0016873402,-0.0037114632,-0.0061134347
515,-0.0060369694,-0.0047647352,-0.0016896325,-0.0036920463,-0.0060925945
516,-0.005941254,-0.004688496,-0.0016624541,-0.0036228998,-0.0060028937
517,-0.005959665,-0.004703537,-0.0016465312,-0.003656688,-0.006034616
518,-0.0059395437,-0.004689892,-0.0016129607,-0.0036715358,-0.006036381
519,-0.005978946,-0.004721645,-0.0016091607,-0.003717266,-0.0060845455
520,-0.0059452606,-0.0046978453,-0.0016082623,-0.0036827393,-0.006048917
521,-0.005908514,-0.004669652,-0.0016219135,-0.0036306833,-0.005998992
522,-0.005875624,-0.0046410263,-0.001638043,-0.0035825705,-0.005950298
523,-0.006090626,-0.004806604,-0.0017011153,-0.0037345293,-0.0061480184
524,-0.0060803182,-0.0047945525,-0.0016998968,-0.003725872,-0.0061359983
525,-0.0060115815,-0.004738872,-0.0016761982,-0.0036814685,-0.006074792
526,-0.006175313,-0.004866398,-0.0017201671,-0.0038021572,-0.0062288856
527,-0.006178614,-0.004869494,-0.0017350574,-0.0037906594,-0.0062229126
528,-0.006177609,-0.004866944,-0.0017608212,-0.0037652901,-0.0062035075
529,-0.0061686058,-0.004856555,-0.001780947,-0.003738692,-0.006178097
530,-0.006084129,-0.0047880565,-0.0017627833,-0.003673582,-0.0060944012
531,-0.0061231414,-0.004820879,-0.001753944,-0.00371849,-0.006144419
532,-0.006092322,-0.0048031053,-0.0016914397,-0.0037461906,-0.0061552734
533,-0.006045807,-0.0047665867,-0.0016786352,-0.003712893,-0.0061124084
534,-0.006078893,-0.004793004,-0.0016996902,-0.0037253206,-0.00613565
535,-0.00610338,-0.0048109144,-0.001729822,-0.0037209475,-0.0061420267
536,-0.00611903,-0.0048207575,-0.0017532315,-0.003714986,-0.0061422917
537,-0.006121626,-0.0048220023,-0.0017533348,-0.0037172006,-0.0061443676
538,-0.006082404,-0.004793103,-0.0017232753,-0.0037060718,-0.006120866
539,-0.0061205155,-0.0048290067,-0.0016921419,-0.0037749705,-0.006187451
540,-0.005908514,-0.004664484,-0.0016285429,-0.003625544,-0.0059927637
541,-0.0058940495,-0.004656804,-0.0016209428,-0.003617966,-0.005982685
542,-0.0058664856,-0.0046374365,-0.0016223886,-0.003588373,-0.0059510833
543,-0.005835711,-0.004613941,-0.00162085,-0.0035588457,-0.0059171217
544,-0.005908529,-0.004671466,-0.0016307321,-0.0036209936,-0.005991663
545,-0.0059170965,-0.0046777194,-0.0016113499,-0.0036485586,-0.00601359
546,-0.0059343223,-0.0046906206,-0.0015923188,-0.0036885329,-0.0060463063
547,-0.005972389,-0.004720309,-0.0015863295,-0.0037366876,-0.006093751
548,-0.005947586,-0.0047047967,-0.0015787708,-0.003718574,-0.0060733426
549,-0.0059202774,-0.004687486,-0.0015839132,-0.0036824404,-0.0060411696
550,-0.005899106,-0.004671845,-0.0015927937,-0.0036499975,-0.006011881
551,-0.0058129337,-0.004602512,-0.0015755903,-0.0035796177,-0.005926095
552,-0.0057863607,-0.004577278,-0.0015692294,-0.0035601447,-0.005899319
553,-0.0059824875,-0.0047253785,-0.0016198689,-0.003709286,-0.0060839276
554,-0.006032633,-0.0047637485,-0.0016278821,-0.0037540817,-0.006135687
555,-0.006080978,-0.004803356,-0.0016518595,-0.003777741,-0.0061750314
556,-0.0061235917,-0.0048378934,-0.0016854195,-0.00378488,-0.006200521
557,-0.0061579375,-0.0048637795,-0.0017145496,-0.003789253,-0.0062184953
558,-0.00624606,-0.0049308743,-0.0017364102,-0.0038563625,-0.006302219
559,-0.006171742,-0.0048688645,-0.0017220568,-0.0037962846,-0.006226261
560,-0.00615066,-0.0048483666,-0.0017147769,-0.003783128,-0.0062057134
561,-0.006093087,-0.004805329,-0.0016860494,-0.0037553292,-0.0061615296
562,-0.006088826,-0.0048042815,-0.0016902934,-0.0037462513,-0.006154363
563,-0.006061262,-0.0047839964,-0.0016821978,-0.0037251525,-0.0061309775
564,-0.006071105,-0.004787677,-0.001714529,-0.0037035113,-0.0061180424
565,-0.0060150474,-0.00474042,-0.0017077035,-0.0036552397,-0.0060582478
566,-0.0060349586,-0.004754687,-0.0017057414,-0.0036768806,-0.006081424
567,-0.006007695,-0.0047341892,-0.0016796162,-0.0036752268,-0.0060687354
568,-0.0060496484,-0.0047711553,-0.0016701161,-0.0037266943,-0.0061242986
569,-0.006048523,-0.004772901,-0.0016736271,-0.003721583,-0.006121275
570,-0.0060372846,-0.004765517,-0.0016853989,-0.0036981292,-0.0061004995
571,-0.006013742,-0.004746719,-0.0016909543,-0.0036689662,-0.0060691624
572,-0.005950632,-0.004696722,-0.001669445,-0.0036265345,-0.006011755
573,-0.0058717523,-0.004636746,-0.0016222233,-0.0035932416,-0.005955319
574,-0.0059290105,-0.004682956,-0.0016043797,-0.0036703958,-0.0060325027
575,-0.0058977106,-0.004660143,-0.0015764784,-0.0036689942,-0.0060173473
576,-0.0058790296,-0.004649033,-0.0015678251,-0.0036586223,-0.006003841
577,-0.0058564926,-0.004634659,-0.0015717903,-0.0036296274,-0.005977023
578,-0.0058380216,-0.0046203765,-0.0015788637,-0.0036021185,-0.0059511433
579,-0.0060243355,-0.004762762,-0.0016238343,-0.0037461813,-0.006128957
580,-0.006003704,-0.0047436375,-0.0016054537,-0.0037463168,-0.0061175963
581,-0.005950047,-0.0047004335,-0.0015608033,-0.0037459664,-0.0060895756
582,-0.0059835226,-0.004724923,-0.0015628891,-0.0037831187,-0.0061266627
583,-0.0060303374,-0.00476494,-0.0015893345,-0.003799681,-0.0061629973
584,-0.006076477,-0.0048046308,-0.0016272728,-0.0038009097,-0.0061899964
585,-0.0061232015,-0.004840413,-0.0016670492,-0.003803241,-0.0062143616
586,-0.0061301636,-0.0048401854,-0.0016940109,-0.0037809787,-0.0062004835
