Date, Open, High, Low, Close
12/06/11, 1.5651, 1.5651, 1.5602, 1.5602
12/05/11, 1.5599, 1.5651, 1.5599, 1.5651
12/02/11, 1.5690, 1.5690, 1.5599, 1.5599
12/01/11, 1.5703, 1.5703, 1.5690, 1.5690
11/30/11, 1.5596, 1.5703, 1.5596, 1.5703
11/29/11, 1.5512, 1.5596, 1.5512, 1.5596
11/28/11, 1.5439, 1.5512, 1.5439, 1.5512
11/25/11, 1.5495, 1.5495, 1.5439, 1.5439
11/24/11, 1.5525, 1.5525, 1.5495, 1.5495
11/23/11, 1.5634, 1.5634, 1.5525, 1.5525
11/22/11, 1.5642, 1.5642, 1.5634, 1.5634
11/21/11, 1.5807, 1.5807, 1.5642, 1.5642
11/18/11, 1.5756, 1.5807, 1.5756, 1.5807
11/17/11, 1.5736, 1.5756, 1.5736, 1.5756
11/16/11, 1.5822, 1.5822, 1.5736, 1.5736
11/15/11, 1.5910, 1.5910, 1.5822, 1.5822
11/14/11, 1.6065, 1.6065, 1.5910, 1.5910
11/11/11, 1.5936, 1.6065, 1.5936, 1.6065
11/10/11, 1.5917, 1.5936, 1.5917, 1.5936
11/09/11, 1.6092, 1.6092, 1.5917, 1.5917
11/08/11, 1.6054, 1.6092, 1.6054, 1.6092
11/07/11, 1.6035, 1.6054, 1.6035, 1.6054
11/04/11, 1.6041, 1.6041, 1.6035, 1.6035
11/03/11, 1.5951, 1.6041, 1.5951, 1.6041
11/02/11, 1.5950, 1.5951, 1.5950, 1.5951
11/01/11, 1.6088, 1.6088, 1.5950, 1.5950
10/31/11, 1.6130, 1.6130, 1.6088, 1.6088
10/28/11, 1.6100, 1.6130, 1.6100, 1.6130
10/27/11, 1.5977, 1.6100, 1.5977, 1.6100
10/26/11, 1.6000, 1.6000, 1.5977, 1.5977
10/25/11, 1.5998, 1.6000, 1.5998, 1.6000
10/24/11, 1.5953, 1.5998, 1.5953, 1.5998
10/21/11, 1.5792, 1.5953, 1.5792, 1.5953
10/20/11, 1.5774, 1.5792, 1.5774, 1.5792
10/19/11, 1.5713, 1.5774, 1.5713, 1.5774
10/18/11, 1.5744, 1.5744, 1.5713, 1.5713
10/17/11, 1.5821, 1.5821, 1.5744, 1.5744
10/14/11, 1.5768, 1.5821, 1.5768, 1.5821
10/13/11, 1.5753, 1.5768, 1.5753, 1.5768
10/12/11, 1.5578, 1.5753, 1.5578, 1.5753
10/11/11, 1.5669, 1.5669, 1.5578, 1.5578
10/10/11, 1.5562, 1.5669, 1.5562, 1.5669
10/07/11, 1.5446, 1.5562, 1.5446, 1.5562
10/06/11, 1.5461, 1.5461, 1.5446, 1.5446
10/05/11, 1.5489, 1.5489, 1.5461, 1.5461
10/04/11, 1.5433, 1.5489, 1.5433, 1.5489
10/03/11, 1.5588, 1.5588, 1.5433, 1.5433
09/30/11, 1.5626, 1.5626, 1.5588, 1.5588
09/29/11, 1.5575, 1.5626, 1.5575, 1.5626
09/28/11, 1.5634, 1.5634, 1.5575, 1.5575
09/27/11, 1.5566, 1.5634, 1.5566, 1.5634
09/26/11, 1.5454, 1.5566, 1.5454, 1.5566
09/23/11, 1.5345, 1.5454, 1.5345, 1.5454
09/22/11, 1.5498, 1.5498, 1.5345, 1.5345
09/21/11, 1.5736, 1.5736, 1.5498, 1.5498
09/20/11, 1.5704, 1.5736, 1.5704, 1.5736
09/19/11, 1.5792, 1.5792, 1.5704, 1.5704
09/16/11, 1.5801, 1.5801, 1.5792, 1.5792
09/15/11, 1.5770, 1.5801, 1.5770, 1.5801
09/14/11, 1.5779, 1.5779, 1.5770, 1.5770
09/13/11, 1.5862, 1.5862, 1.5779, 1.5779
09/12/11, 1.5883, 1.5883, 1.5862, 1.5862
09/09/11, 1.5958, 1.5958, 1.5883, 1.5883
09/08/11, 1.5993, 1.5993, 1.5958, 1.5958
09/07/11, 1.5943, 1.5993, 1.5943, 1.5993
09/06/11, 1.6119, 1.6119, 1.5943, 1.5943
09/05/11, 1.6219, 1.6219, 1.6119, 1.6119
09/02/11, 1.6181, 1.6219, 1.6181, 1.6219
09/01/11, 1.6252, 1.6252, 1.6181, 1.6181
08/31/11, 1.6301, 1.6301, 1.6252, 1.6252
08/30/11, 1.6408, 1.6408, 1.6301, 1.6301
08/29/11, 1.6368, 1.6408, 1.6368, 1.6408
08/26/11, 1.6280, 1.6368, 1.6280, 1.6368
08/25/11, 1.6375, 1.6375, 1.6280, 1.6280
08/24/11, 1.6495, 1.6495, 1.6375, 1.6375
08/23/11, 1.6454, 1.6495, 1.6454, 1.6495
08/22/11, 1.6465, 1.6465, 1.6454, 1.6454
08/19/11, 1.6518, 1.6518, 1.6465, 1.6465
08/18/11, 1.6544, 1.6544, 1.6518, 1.6518
08/17/11, 1.6457, 1.6544, 1.6457, 1.6544
08/16/11, 1.6389, 1.6457, 1.6389, 1.6457
08/15/11, 1.6279, 1.6389, 1.6279, 1.6389
08/12/11, 1.6239, 1.6279, 1.6239, 1.6279
08/11/11, 1.6136, 1.6239, 1.6136, 1.6239
08/10/11, 1.6317, 1.6317, 1.6136, 1.6136
08/09/11, 1.6320, 1.6320, 1.6317, 1.6317
08/08/11, 1.6392, 1.6392, 1.6320, 1.6320
08/05/11, 1.6256, 1.6392, 1.6256, 1.6392
08/04/11, 1.6427, 1.6427, 1.6256, 1.6256
08/03/11, 1.6300, 1.6427, 1.6300, 1.6427
