Date,Open,High,Low,Close,Adj Close,Volume
2021-07-08,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-09,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-12,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-13,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-14,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-15,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-16,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-19,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-20,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-22,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-23,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-26,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-27,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-28,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-29,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-30,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-02,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-03,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-04,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-05,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-06,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-09,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-10,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-11,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-12,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-13,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-16,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-17,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-18,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-20,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-23,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-24,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-25,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-26,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-27,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-30,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-08-31,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-01,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-02,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-03,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-06,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-07,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-08,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-09,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-13,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-14,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-15,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-16,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-17,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-20,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-21,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-22,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-23,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-24,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-27,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-28,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-29,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-09-30,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-01,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-04,102.185997,102.185997,102.185997,102.185997,102.185997,0
